gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,-0.44031528592635544,0,0,-1.2413308272103278,1,0,1,0,0,0,0,0,0,0,0,1,0.19316450620639225,-0.946350640120854,1
0,-0.44031528592635544,0,0,-0.7110781194995532,1,2,1,2,0,2,0,0,0,0,1,1,0.6473551391691115,-0.43534589159229437,0
1,-0.44031528592635544,1,1,1.4099327113435454,1,2,1,0,2,0,0,0,2,0,1,0,0.8203801422025286,1.7945469843289024,0
1,-0.44031528592635544,0,0,-1.1189648177386107,1,0,0,0,2,0,2,0,2,0,1,0,0.023466907077463767,-0.8587460565269909,0
1,-0.44031528592635544,0,0,-0.26240275143659014,1,0,2,1,1,1,1,1,1,0,1,2,-1.4838470616559571,-0.783389402918515,0
0,-0.44031528592635544,0,0,-1.1597534875625164,1,2,0,0,0,0,2,2,0,0,1,3,-0.01646193977640131,-0.8969631163377675,0
1,-0.44031528592635544,1,1,-0.38476876090830736,1,0,2,1,1,1,1,1,1,2,0,1,-1.5071388889873785,-0.8205949640231375,0
1,2.2710998958306754,0,0,-1.2413308272103278,1,0,1,0,2,0,0,0,0,0,1,2,0.32626066238594376,-0.9354880235808518,1
1,-0.44031528592635544,0,0,0.7573139941610534,1,0,2,1,1,1,1,1,1,1,0,2,-1.5237759085098224,-0.5650156279007809,0
1,-0.44031528592635544,1,1,-0.1400367419648729,1,2,0,0,2,2,0,2,2,0,0,1,0.505940473228338,-0.035518044331448465,0
1,-0.44031528592635544,0,0,-1.1597534875625164,1,2,1,0,0,0,0,0,2,0,1,2,0.6906113899274662,-0.8591858385731449,1
1,-0.44031528592635544,0,0,-1.0373874780907992,1,2,1,0,0,0,0,0,2,0,1,2,0.7288765348290869,-0.7354091816831212,1
0,-0.44031528592635544,0,1,-0.8742327987951762,1,0,2,1,1,1,1,1,1,0,0,1,-1.4905018694649346,-0.9108822180985394,1
